,householdid,productid,weeknum,salesvalue,productdesc,productsubdesc,qty,cartid,storeid,daynum,transactiontime,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
3140,766,1038217,83,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,40399991964,333,575,1553,Rear End Cap,-0.39,0.0,0.0
3141,725,5567502,75,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,35386701106,400,519,1359,Side-Aisle End Cap,-0.87,0.0,0.0
3142,712,6919202,75,3.29,PLASTIC HOUSEWARES,DISPOSABLE FD STORAGE CONTAINR,1,35463425786,448,521,1304,Rear End Cap,0.0,0.0,0.0
3143,630,871756,93,4.75,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,3,41413600789,306,645,1317,Rear End Cap,-3.61,-0.75,-0.25
3144,725,844165,93,2.0,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,41453366123,400,649,1233,In-Aisle,-1.58,0.0,0.0
3145,715,839162,20,3.0,HEAT/SERVE,ENTREES,3,28675626501,354,134,1752,Rear Aisle,-4.17,0.0,0.0
3146,607,962229,20,1.5,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,28675712004,299,134,2152,Other Location Display,-0.89,0.0,0.0
3147,607,962229,20,1.5,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,28675712006,299,134,2153,Other Location Display,-0.89,0.0,0.0
3148,768,1102185,22,1.0,LUNCHMEAT,HAM,1,28867812502,323,147,1556,Rear Aisle,-0.99,0.0,0.0
3149,647,1112598,32,0.99,BAKING NEEDS,MARSHMALLOWS,1,30130254705,343,219,1836,In-Shelf,-0.3,0.0,0.0
3150,768,1029743,38,2.59,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30857085063,323,258,0634,Front End Cap,0.0,0.0,0.0
3151,718,839419,26,8.09,MEAT - MISC,BREAST - BONELESS(IQF),2,29330155489,324,176,1103,Other Location Display,-9.89,0.0,0.0
3152,768,1124729,57,0.6,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,32811720098,323,392,0526,Front Aisle,0.0,0.0,0.0
3153,605,1058997,65,1.0,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,33657147233,369,449,1326,Front End Cap,-0.85,0.0,0.0
3154,680,829001,57,2.0,COLD CEREAL,KIDS CEREAL,1,32848671884,424,395,1544,Rear End Cap,-1.49,0.0,0.0
3155,712,5569374,50,2.75,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,32091206270,448,347,1412,In-Aisle,-1.94,0.0,0.0
3156,766,990688,65,2.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,33658860178,333,452,0809,Front End Cap,-1.19,0.0,0.0
3157,680,981760,69,0.79,EGGS,EGGS - X-LARGE,1,34133596706,424,481,1426,Rear Aisle,-0.35,0.0,0.0
3158,692,981760,80,0.88,EGGS,EGGS - X-LARGE,1,40127526033,335,554,1316,Rear Aisle,-0.1,0.0,0.0
3159,771,1108094,70,11.99,BEERS/ALES,BEERALEMALT LIQUORS,1,34186468657,424,485,2114,Side-Aisle End Cap,0.0,0.0,0.0
3160,786,883404,81,1.0,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,40248902980,339,564,2301,In-Aisle,-0.29,0.0,0.0
3161,766,909894,72,1.0,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1,34577684050,333,499,2050,In-Aisle,-0.9,0.0,0.0
3162,740,949620,92,4.0,FROZEN BREAD/DOUGH,FRZN BREAD DOUGH,2,41366579813,404,641,2024,Front End Cap,-1.38,0.0,0.0
3163,740,15926886,92,1.88,BAG SNACKS,POTATO CHIPS,1,41366579813,404,641,2024,Other Location Display,-0.62,0.0,0.0
3164,631,987562,75,1.67,CHEESE,SHREDDED CHEESE,1,35463701256,389,521,1337,Other Location Display,-0.11,0.0,0.0
3165,761,5570383,76,5.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,35688917839,343,530,1417,Rear End Cap,-4.38,0.0,0.0
3166,786,1124695,23,2.75,FROZEN PIZZA,PIZZA/TRADITIONAL,1,29019282202,339,154,1842,Rear End Cap,0.0,0.0,0.0
3167,768,1029743,38,2.59,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30883465070,323,260,0616,Front End Cap,0.0,0.0,0.0
3168,766,903077,34,1.18,BAKING NEEDS,PIE FILLING MINCEMEAT GLAZES,2,30531303049,333,232,1743,Rear End Cap,-0.2,0.0,0.0
3169,761,1053690,41,2.64,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,3,31185095801,343,283,1838,Rear Aisle,-2.13,0.0,0.0
3170,696,889731,30,0.79,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,30032925452,31742,203,1138,In-Aisle,-0.8,0.0,0.0
3171,712,889731,30,0.79,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,30033481653,31742,204,1719,In-Aisle,-0.8,0.0,0.0
3172,614,925514,56,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,32759445971,288,388,1540,Other Location Display,-0.26,0.0,0.0
3173,731,5584007,47,0.78,YOGURT,YOGURT NOT MULTI-PACKS,2,31770106832,438,321,1608,In-Aisle,0.0,0.0,0.0
3174,605,965772,93,2.67,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,1,41413367290,448,645,2028,Side-Aisle End Cap,-1.62,0.0,0.0
3175,601,12263156,86,2.99,AIR CARE,AIR CARE - AEROSOLS,1,40680801682,306,599,1505,Front Aisle,0.0,0.0,0.0
3176,647,8090509,88,2.67,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,40865481913,343,613,1215,In-Shelf,-2.62,0.0,0.0
3177,718,5572276,13,0.99,CANDY - CHECKLANE,MINTS CANDY & BREATH (NOT LIF,1,27997632879,324,85,2152,Front End Cap,0.0,0.0,0.0
3178,712,10356540,37,2.0,CHIPS&SNACKS,POTATO CHIPS,1,30793035567,448,253,1159,Front End Cap,-0.99,0.0,0.0
3179,614,5565925,42,1.55,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1,31281077082,288,290,2045,Rear Aisle,-1.69,-0.55,-0.45
3180,787,859191,32,2.5,SALAD MIX,BLENDS,1,30087562350,443,216,1945,In-Shelf,-0.49,0.0,0.0
3181,788,9419470,33,1.74,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,1,30229220221,360,227,0944,Rear End Cap,-1.75,-3.0,0.0
3182,715,865528,33,2.5,BACON,PREMIUM,1,30240985367,354,228,1049,Rear Aisle,-1.79,0.0,0.0
3183,771,8160319,42,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,31242755653,359,287,1228,Front Aisle,-0.26,0.0,0.0
3184,779,5568378,29,3.76,BAG SNACKS,TORTILLA/NACHO CHIPS,2,29738813429,343,197,1614,In-Aisle,-1.74,0.0,0.0
3185,696,1126899,29,3.33,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,29773251302,31742,198,1554,Front End Cap,-1.65,0.0,0.0
3186,607,1000050,45,2.0,COLD CEREAL,KIDS CEREAL,1,31625265037,372,312,2126,Rear End Cap,-1.39,0.0,0.0
3187,725,951526,64,0.2,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,1,33655382778,400,446,1821,Other Location Display,0.0,0.0,0.0
3188,725,1038217,46,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,31711432593,400,316,1827,Front End Cap,-0.39,0.0,0.0
3189,786,1098066,56,0.88,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,32759940153,339,389,0807,Side-Aisle End Cap,-0.41,0.0,0.0
3190,718,1093217,56,2.5,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,1,32760315615,324,389,1051,In-Aisle,-0.29,0.0,0.0
3191,614,976335,65,2.12,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,1,33658266672,288,451,1836,Rear End Cap,0.0,0.0,0.0
3192,601,1096036,79,1.19,CHEESE,IWS SINGLE CHEESE,1,40085498137,329,549,1712,In-Aisle,-0.67,0.0,0.0
3193,712,981760,52,1.0,EGGS,EGGS - X-LARGE,1,32259756171,448,361,1409,Rear Aisle,-0.19,0.0,0.0
3194,740,1096290,66,1.88,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,33768206705,404,455,1702,Front Aisle,-0.8,0.0,0.0
3195,696,8090536,64,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,33493395780,31742,443,1318,Rear Aisle,-2.09,0.0,0.0
3196,706,1112598,87,1.29,BAKING NEEDS,MARSHMALLOWS,1,40739842583,343,603,1448,In-Shelf,-0.2,0.0,0.0
3197,768,858042,90,0.79,BAKING NEEDS,MARSHMALLOW CREME,1,41062745097,323,624,0648,In-Shelf,-0.2,0.0,0.0
3198,788,14077333,88,1.5,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,40826732303,360,610,1646,Rear End Cap,-1.65,0.0,0.0
3199,771,10456655,84,1.0,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,3,40510526035,359,585,1259,Rear Aisle,-0.8,0.0,0.0
3200,680,923746,90,1.29,EGGS,EGGS - LARGE,1,41124738424,424,627,1816,Rear Aisle,-0.36,0.0,0.0
3201,699,939346,94,1.5,CONDIMENTS/SAUCES,CHILI SAUCE COCKTAIL SAUCE,1,41531891045,408,654,1330,Rear End Cap,-0.29,0.0,0.0
3202,725,1068957,94,3.0,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,3,41545377680,400,655,1649,Rear End Cap,-3.87,0.0,0.0
3203,788,5569230,98,8.25,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,3,41931556261,360,684,1449,In-Aisle,-5.82,0.0,0.0
3204,718,1088835,19,0.53,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,28601832642,324,128,1953,Front Aisle,-0.06,0.0,0.0
3205,753,1029743,38,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30930085139,317,263,0906,Front End Cap,0.0,0.0,0.0
3206,712,883404,38,0.99,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,30930122674,31742,263,1802,In-Aisle,-0.3,0.0,0.0
3207,725,826249,25,0.99,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,29221796074,400,168,1305,Other Location Display,0.0,0.0,0.0
3208,712,9526410,34,4.0,BAG SNACKS,POTATO CHIPS,2,30532327192,448,234,1809,In-Aisle,0.0,0.0,0.0
3209,699,846502,26,3.19,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,1,29353181277,408,179,1426,Front Aisle,0.0,0.0,0.0
3210,768,1029743,26,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,29353254495,323,179,2252,Front End Cap,0.0,0.0,0.0
3211,733,993689,66,1.0,SOAP - LIQUID & BAR,LIQUID SOAP,1,33770591139,356,459,1228,Front Aisle,-0.99,0.0,0.0
3212,761,12263788,47,4.5,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,3,31834466589,343,327,2101,In-Aisle,-1.47,0.0,0.0
3213,647,945779,47,1.0,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,31834466635,343,327,2114,Rear End Cap,0.0,0.0,0.0
3214,706,1029743,48,2.69,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,31908167315,32004,331,1912,Front End Cap,0.0,0.0,0.0
3215,605,898068,67,1.67,CONDIMENTS/SAUCES,CATSUP,1,33836741254,369,461,1104,Front Aisle,-1.02,0.0,0.0
3216,680,10344585,50,2.75,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,32090767777,424,346,1749,In-Aisle,-1.94,0.0,0.0
3217,725,936229,51,5.99,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,1,32125667389,400,349,1742,Rear End Cap,0.0,0.0,0.0
3218,771,840361,80,0.88,EGGS,EGGS - LARGE,1,40128152686,359,555,2202,In-Aisle,-0.16,0.0,0.0
3219,725,987562,16,1.67,CHEESE,SHREDDED CHEESE,1,28257906035,400,106,1254,In-Aisle,-1.02,0.0,0.0
3220,753,926065,32,1.0,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,1,30106031927,396,217,1954,Rear End Cap,-0.49,0.0,0.0
3221,797,1029743,38,2.49,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,30906871181,450,261,1218,Front End Cap,0.0,0.0,0.0
3222,788,1108168,41,2.09,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,31160940446,360,281,1221,Other Location Display,0.0,0.0,0.0
3223,630,8090537,24,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,29114996413,306,161,1553,In-Aisle,-2.09,-2.5,0.0
3224,712,991402,24,2.0,BAG SNACKS,BAGGED POPPED POPCORN,1,29141986784,369,163,1224,In-Aisle,-0.29,0.0,0.0
3225,647,1071939,27,1.0,CHEESE,CREAM CHEESE,1,29485089571,343,185,1749,In-Aisle,-0.1,0.0,0.0
3226,768,1003188,28,1.0,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1,29528195292,323,188,0853,Rear End Cap,-0.79,0.0,0.0
3227,768,1053690,36,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,30686460079,323,245,0613,Rear Aisle,-0.71,0.0,0.0
3228,788,1038217,29,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,29712800720,313,196,1054,Side-Aisle End Cap,-0.39,0.0,0.0
3229,766,1075074,36,1.0,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,1,30686704817,333,245,2006,Rear End Cap,-0.59,0.0,0.0
3230,731,912322,44,1.19,LIQUOR,COCKTAIL MIXES-FLUID:ADD LIQ,1,31424086234,445,300,1427,Front End Cap,0.0,0.0,0.0
3231,786,1065538,40,15.99,BEERS/ALES,BEERALEMALT LIQUORS,1,31046490839,339,272,1310,Other Location Display,0.0,0.0,0.0
3232,725,893501,64,2.0,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,33655382778,400,446,1821,Rear Aisle,-1.18,0.0,0.0
3233,761,832678,47,2.0,CRACKERS/MISC BKD FD,BUTTER SPRAY CRACKER (RITZ/CLU,1,31789451792,343,322,1307,Front End Cap,-0.23,0.0,0.0
3234,725,1053690,50,1.76,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,32065201280,400,344,1416,In-Aisle,-1.42,0.0,0.0
3235,715,827079,54,2.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,32556966396,389,375,1223,Front End Cap,-1.19,0.0,0.0
3236,762,1070820,69,2.42,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,34044930720,31862,475,1250,Front End Cap,-0.27,0.0,0.0
3237,647,874643,86,0.88,BAKING MIXES,LAYER CAKE MIX,1,40680303391,343,598,1458,Rear End Cap,-0.81,0.0,0.0
3238,725,914190,92,6.0,CHEESE,CREAM CHEESE,6,41324762648,400,638,1747,Rear Aisle,-2.7,0.0,0.0
3239,725,892008,73,2.0,MEAT - SHELF STABLE,PASTA: CANNED,2,34762442629,400,504,1903,In-Shelf,0.0,0.0,0.0
3240,622,13115703,82,2.5,BAG SNACKS,POTATO CHIPS,1,40300610452,298,567,1035,In-Aisle,-0.49,0.0,0.0
3241,764,10285106,92,2.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),2,41337835270,33923,639,0840,Front Aisle,-0.98,0.0,0.0
3242,718,856335,73,2.12,CONVENIENT BRKFST/WHLSM SNACKS,GRANOLA BARS,1,34851302350,324,508,1842,Rear End Cap,-0.17,0.0,0.0
3243,692,1115874,74,1.0,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,3,35145890916,335,515,1212,Front Aisle,-0.77,0.0,0.0
3244,768,1117964,75,0.88,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,35333727896,323,518,2126,Front End Cap,-0.12,0.0,0.0
3245,786,819518,87,2.0,FRUIT - SHELF STABLE,CRANBERRY SAUCE,2,40788535237,339,607,0905,In-Shelf,-1.58,0.0,0.0
3246,762,838563,77,1.85,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,1,35726787294,31862,533,2024,Rear End Cap,0.0,0.0,0.0
3247,718,850290,77,1.8,DINNER MXS:DRY,SKILLET DINNERS,2,35841777090,324,536,1703,Rear End Cap,-0.2,0.0,0.0
3248,680,13190294,84,3.0,BAG SNACKS,POTATO CHIPS,2,40533252693,424,586,1611,Other Location Display,-0.16,0.0,0.0
3249,768,926318,99,1.0,WATER,NON-CARB WATER FLVR - DRNK/MNR,1,41944610067,323,685,0632,Rear Aisle,-0.49,0.0,0.0
3250,631,940947,17,5.0,HEAT/SERVE,ENTREES,2,28391797384,389,117,1611,Rear Aisle,-0.98,0.0,0.0
3251,718,7441391,11,0.2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,27817367181,324,70,1749,Front Aisle,0.0,0.0,0.0
3252,696,938700,40,1.0,VEGETABLES - SHELF STABLE,CORN,2,31114680576,369,277,1322,In-Shelf,-0.58,0.0,0.0
3253,712,897025,34,3.29,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,1,30578701004,448,235,1253,Other Location Display,-0.3,0.0,0.0
3254,605,859075,43,3.0,CHEESE,SHREDDED CHEESE,2,31343887153,448,293,1940,In-Aisle,-0.78,0.0,0.0
3255,764,896369,61,2.0,PNT BTR/JELLY/JAMS,PEANUT BUTTER,2,33203905222,33923,422,0925,In-Aisle,-1.98,0.0,0.0
3256,631,8065410,66,2.5,BACON,ECONOMY,1,33770166870,389,458,1422,Rear Aisle,-1.89,0.0,0.0
3257,712,981760,55,0.79,EGGS,EGGS - X-LARGE,1,32671625967,448,382,1242,Rear Aisle,-0.4,0.0,0.0
3258,718,987480,48,0.25,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,31896041779,324,330,1647,Front Aisle,-0.35,0.0,0.0
3259,755,983267,58,4.88,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,32957200720,382,403,1048,In-Aisle,-3.11,0.0,0.0
3260,788,1136755,50,4.15,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,32091377269,313,347,1454,In-Aisle,0.0,0.0,0.0
3261,768,882109,51,1.0,WATER,NON-CARB WATER FLVR - DRNK/MNR,1,32125403232,323,349,2117,Rear Aisle,-0.49,0.0,0.0
3262,718,910291,51,0.33,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,32137836939,324,350,1817,Front Aisle,-0.26,0.0,0.0
3263,699,852600,64,2.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,33460621929,408,441,1908,Front End Cap,-1.19,0.0,0.0
3264,725,893501,64,2.0,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,33460950601,400,441,1130,Rear Aisle,-1.18,0.0,0.0
3265,725,10285144,64,1.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,33460952081,400,441,1729,Other Location Display,-0.49,0.0,0.0
3266,731,15926864,89,2.5,BAG SNACKS,POTATO CHIPS,1,40941460189,396,619,0932,Side-Aisle End Cap,0.0,0.0,0.0
3267,766,1125724,72,1.0,SOAP - LIQUID & BAR,LIQUID SOAP,1,34577684050,333,499,2050,Front Aisle,-0.69,0.0,0.0
3268,712,1044805,89,1.79,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1,40968800577,448,620,1125,Rear End Cap,0.0,0.0,0.0
3269,715,1075074,87,1.0,FROZEN PIE/DESSERTS,FRZN WHIPPED TOPPING,1,40788797084,415,607,1425,Rear End Cap,-0.23,0.0,0.0
3270,712,1131344,76,2.5,DINNER SAUSAGE,SMOKED/COOKED,1,35666155977,448,529,1248,Rear Aisle,-0.49,0.0,0.0
3271,622,1106523,77,2.32,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,35701471236,356,531,1245,Other Location Display,0.0,0.0,0.0
3272,755,12171222,91,1.32,BAKING NEEDS,BITS & MORSELS,1,41260346822,382,635,1347,Other Location Display,0.0,-0.65,-0.35
3273,766,941427,79,1.0,ORAL HYGIENE PRODUCTS,DENTAL FLOSS AND IMPLEMENTS,1,40062048992,333,548,2228,Front Aisle,-0.69,0.0,0.0
3274,786,878715,97,16.99,BEERS/ALES,BEERALEMALT LIQUORS,1,41756336566,339,671,1645,Front End Cap,0.0,0.0,0.0
3275,605,835236,98,1.79,OLIVES,RIPE OLIVES,1,41904746352,369,682,1910,Other Location Display,0.0,0.0,0.0
3276,605,15596705,101,2.77,COLD CEREAL,KIDS CEREAL,1,42185663523,369,703,1005,Rear End Cap,-3.02,0.0,0.0
3277,715,881608,101,1.0,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,42198837408,415,704,1525,Front End Cap,0.0,0.0,0.0
3278,712,834631,14,1.69,MISCELLANEOUS,SAUERKRAUT,1,28093175416,448,93,1035,Front End Cap,0.0,0.0,0.0
3279,786,989069,25,2.69,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,1,29277335225,339,173,0858,Rear Aisle,-0.3,0.0,0.0
3280,607,918368,26,1.25,CHEESE,SHREDDED CHEESE,1,29329812801,432,175,2041,Rear Aisle,-0.64,0.0,0.0
3281,766,1105917,40,2.0,BUTTER,BUTTER,1,31070798047,333,274,1602,In-Aisle,-1.89,0.0,0.0
3282,786,1121346,36,3.5,SOAP - LIQUID & BAR,BAR SOAP,1,30743320197,339,249,0903,Mid-Aisle End Cap,-1.09,0.0,0.0
3283,712,1011676,36,10.99,DOMESTIC WINE,ULTRA PREMIUM WINES,1,30743502265,369,249,1317,Side-Aisle End Cap,0.0,0.0,0.0
3284,718,927191,51,0.94,SEAFOOD - SHELF STABLE,TUNA,2,32149761511,324,351,1652,In-Shelf,-0.1,0.0,0.0
3285,718,924804,59,0.0,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,1,33002307002,324,406,1809,Other Location Display,-2.39,0.0,0.0
3286,718,922907,60,1.79,CHEESE,IWS SINGLE CHEESE,1,33118530512,327,414,1113,In-Aisle,-0.1,0.0,0.0
3287,755,898432,54,3.98,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,2,32478657146,382,370,1702,In-Aisle,-1.02,0.0,0.0
3288,716,9837807,74,1.98,LUNCHMEAT,LUNCH COMBO,2,35000605466,296,510,1221,Rear Aisle,-3.2,0.0,0.0
3289,761,990797,87,2.0,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1,40751981132,343,604,2110,Mid-Aisle End Cap,-0.96,0.0,0.0
3290,718,867668,78,2.19,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,36030402463,324,543,1851,Rear Aisle,-0.1,0.0,0.0
3291,706,9194207,95,2.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),2,41628140109,343,661,0610,Front Aisle,-0.98,0.0,0.0
3292,614,837527,96,1.0,COOKIES/CONES,VENDOR SIZE/SINGLE SERVE COOKI,1,41704731487,288,667,1815,Front Aisle,-0.29,0.0,0.0
3293,715,1128665,11,1.2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,6,27817336138,389,70,1249,Front Aisle,-2.37,0.0,0.0
3294,715,1132770,17,1.18,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,28364345470,354,115,1212,Rear End Cap,0.0,0.0,0.0
3295,715,913785,15,0.88,CONDIMENTS/SAUCES,CATSUP,1,28235265813,354,101,1330,Other Location Display,-1.11,0.0,0.0
3296,631,1038217,20,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,28744882961,389,137,1648,Rear End Cap,-0.39,0.0,0.0
3297,788,879734,32,10.99,BEERS/ALES,BEERALEMALT LIQUORS,1,30130070366,360,219,1133,Mid-Aisle End Cap,0.0,0.0,0.0
3298,797,1057678,22,37.98,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW SHLFSH-OTHER,2,28886732086,450,147,1724,Rear Aisle,0.0,0.0,0.0
3299,768,834117,24,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,29170538392,323,165,1613,Other Location Display,-1.0,0.0,0.0
3300,725,1098066,25,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,29221796074,400,168,1305,Other Location Display,0.0,0.0,0.0
3301,766,5566321,26,3.69,CEREAL/BREAKFAST,CEREAL - COLD,1,29354191832,322,180,1911,Front Aisle,0.0,0.0,0.0
3302,787,5995423,55,0.25,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,32614507059,443,379,1820,Rear Aisle,0.0,0.0,0.0
3303,718,1062966,45,2.0,HOT DOGS,ECONOMY - MEAT,2,31623987726,324,309,2130,Rear Aisle,-2.38,0.0,0.0
3304,630,1121369,68,3.0,FRUIT - SHELF STABLE,APPLE SAUCE,3,33957302406,306,468,1721,In-Shelf,-2.07,0.0,0.0
3305,631,981760,59,1.19,EGGS,EGGS - X-LARGE,1,33070842122,389,411,1501,Front End Cap,0.0,0.0,0.0
3306,715,981760,80,0.88,EGGS,EGGS - X-LARGE,1,40174127928,354,556,1826,Rear Aisle,-0.21,0.0,0.0
3307,786,860248,81,8.49,BEERS/ALES,BEERALEMALT LIQUORS,1,40248902980,339,564,2301,Mid-Aisle End Cap,0.0,0.0,0.0
3308,715,1051069,73,2.0,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,6,34749015502,354,503,1333,Front Aisle,-1.54,0.0,0.0
3309,718,1053690,75,0.88,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,35486475665,324,523,1220,Rear End Cap,-0.71,0.0,0.0
3310,631,944018,92,12.99,DOMESTIC WINE,PREMIUM 750ML WINES,1,41338446577,389,639,1329,Other Location Display,0.0,0.0,0.0
3311,733,5569471,76,12.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,35665617879,356,528,1816,In-Aisle,-10.95,-2.5,0.0
3312,725,982790,84,2.99,LUNCHMEAT,BOLOGNA,2,40484756074,400,582,1356,Rear Aisle,-2.99,0.0,0.0
3313,699,932863,84,2.99,HOT DOGS,PREMIUM - MEAT,2,40496431052,408,583,1406,Rear Aisle,-2.99,0.0,0.0
3314,771,923746,79,1.0,EGGS,EGGS - LARGE,1,40025765766,359,545,1258,In-Aisle,-0.55,0.0,0.0
3315,661,5569230,98,5.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,41904262099,427,682,1702,Front End Cap,-3.88,0.0,0.0
3316,768,900610,16,1.0,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,2,28294464492,323,109,2251,In-Aisle,-1.18,0.0,0.0
3317,731,10198378,14,9.99,DOG FOODS,DRY DOG VALUE (PET PRIDE/KLR/G,1,28093207557,384,93,1619,Other Location Display,0.0,0.0,0.0
