householdid,productid,storeid,transactiontime,daydate,productdesc,productsubdesc,salesvalue,displayadtypedesc
762,15716933,31862,8:34 PM,Nov 13,HAIR CARE PRODUCTS,SHAMPOO,4.49,Rear End Cap
768,940726,323,6:20 AM,Jul 4,LUNCHMEAT,MISCELLANEOUS,1,Rear Aisle
647,827047,343,5:49 PM,Jul 5,FRZN NOVELTIES/WTR ICE,STICKS/ENROBED,2,Other Location Display
661,1138292,427,10:44 PM,Jul 7,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Rear End Cap
786,909894,339,7:26 AM,Jul 21,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1.45,Rear Aisle
787,859191,443,7:45 PM,Aug 5,SALAD MIX,BLENDS,2.5,In-Shelf
788,9419470,360,9:44 AM,Aug 16,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,1.74,Rear End Cap
715,865528,354,10:49 AM,Aug 17,BACON,PREMIUM,2.5,Rear Aisle
718,839419,324,11:03 AM,Jun 26,MEAT - MISC,BREAST - BONELESS(IQF),8.09,Other Location Display
771,8160319,359,12:28 PM,Oct 15,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.34,Front Aisle
779,5568378,343,4:14 PM,Jul 17,BAG SNACKS,TORTILLA/NACHO CHIPS,3.76,In-Aisle
696,1126899,31742,3:54 PM,Jul 18,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,3.33,Front End Cap
786,1098066,339,8:07 AM,Jan 25,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0.88,Side-Aisle End Cap
718,1093217,324,10:51 AM,Jan 25,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,2.5,In-Aisle
601,1096036,329,5:12 PM,Jul 4,CHEESE,IWS SINGLE CHEESE,1.19,In-Aisle
712,981760,448,2:09 PM,Dec 28,EGGS,EGGS - X-LARGE,1,Rear Aisle
740,1096290,404,5:02 PM,Apr 1,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1.88,Front Aisle
680,981760,424,2:26 PM,Apr 27,EGGS,EGGS - X-LARGE,0.79,Rear Aisle
692,981760,335,1:16 PM,Jul 9,EGGS,EGGS - X-LARGE,0.88,Rear Aisle
605,965772,448,8:28 PM,Oct 8,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,2.67,Side-Aisle End Cap
601,12263156,306,3:05 PM,Aug 23,AIR CARE,AIR CARE - AEROSOLS,2.99,Front Aisle
788,14077333,360,4:46 PM,Sep 3,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1.5,Rear End Cap
771,10456655,359,12:59 PM,Aug 9,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,Rear Aisle
680,923746,424,6:16 PM,Sep 20,EGGS,EGGS - LARGE,1.29,Rear Aisle
788,5569230,360,2:49 PM,Nov 16,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,8.25,In-Aisle
715,839162,354,5:52 PM,May 15,HEAT/SERVE,ENTREES,3,Rear Aisle
607,962229,299,9:52 PM,May 15,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.5,Other Location Display
607,962229,299,9:53 PM,May 15,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.5,Other Location Display
786,1124695,339,6:42 PM,Jun 4,FROZEN PIZZA,PIZZA/TRADITIONAL,2.75,Rear End Cap
768,1029743,323,6:16 AM,Sep 18,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.59,Front End Cap
766,903077,333,5:43 PM,Aug 21,BAKING NEEDS,PIE FILLING MINCEMEAT GLAZES,1.18,Rear End Cap
761,1053690,343,6:38 PM,Oct 11,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2.64,Rear Aisle
607,1000050,372,9:26 PM,Nov 9,COLD CEREAL,KIDS CEREAL,2,Rear End Cap
725,951526,400,6:21 PM,Mar 23,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,0.2,Other Location Display
725,1038217,400,6:27 PM,Nov 13,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Front End Cap
614,976335,288,6:36 PM,Mar 28,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,2.12,Rear End Cap
771,1108094,424,9:14 PM,May 1,BEERS/ALES,BEERALEMALT LIQUORS,11.99,Side-Aisle End Cap
786,883404,339,11:01 PM,Jul 19,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle
766,909894,333,8:50 PM,May 15,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1,In-Aisle
740,949620,404,8:24 PM,Oct 4,FROZEN BREAD/DOUGH,FRZN BREAD DOUGH,4,Front End Cap
740,15926886,404,8:24 PM,Oct 4,BAG SNACKS,POTATO CHIPS,1.88,Other Location Display
768,858042,323,6:48 AM,Sep 17,BAKING NEEDS,MARSHMALLOW CREME,0.79,In-Shelf
647,8090509,343,12:15 PM,Sep 6,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.67,In-Shelf
718,5572276,324,9:52 PM,Mar 27,CANDY - CHECKLANE,MINTS CANDY & BREATH (NOT LIF,0.99,Front End Cap
712,10356540,448,11:59 AM,Sep 11,CHIPS&SNACKS,POTATO CHIPS,2,Front End Cap
768,1102185,323,3:56 PM,May 28,LUNCHMEAT,HAM,1,Rear Aisle
647,1112598,343,6:36 PM,Aug 8,BAKING NEEDS,MARSHMALLOWS,0.99,In-Shelf
768,1029743,323,6:34 AM,Sep 16,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.59,Front End Cap
696,889731,31742,11:38 AM,Jul 23,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,0.79,In-Aisle
712,889731,31742,5:19 PM,Jul 24,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,0.79,In-Aisle
614,925514,288,3:40 PM,Jan 24,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.34,Other Location Display
731,5584007,438,4:08 PM,Nov 18,YOGURT,YOGURT NOT MULTI-PACKS,0.78,In-Aisle
768,1124729,323,5:26 AM,Jan 28,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.6,Front Aisle
605,1058997,369,1:26 PM,Mar 26,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Front End Cap
680,829001,424,3:44 PM,Jan 31,COLD CEREAL,KIDS CEREAL,2,Rear End Cap
712,5569374,448,2:12 PM,Dec 14,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.75,In-Aisle
766,990688,333,8:09 AM,Mar 29,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,2,Front End Cap
696,8090536,31742,1:18 PM,Mar 20,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,Rear Aisle
706,1112598,343,2:48 PM,Aug 27,BAKING NEEDS,MARSHMALLOWS,1.29,In-Shelf
631,987562,389,1:37 PM,Jun 6,CHEESE,SHREDDED CHEESE,1.67,Other Location Display
761,5570383,343,2:17 PM,Jun 15,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,Rear End Cap
699,939346,408,1:30 PM,Oct 17,CONDIMENTS/SAUCES,CHILI SAUCE COCKTAIL SAUCE,1.5,Rear End Cap
725,1068957,400,4:49 PM,Oct 18,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,3,Rear End Cap
768,5588161,323,10:51 PM,Apr 20,MEAT - MISC,WINGS (IQF),6.49,Other Location Display
788,900610,313,11:13 AM,Apr 14,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,1,Rear Aisle
607,923746,372,11:45 PM,Aug 3,EGGS,EGGS - LARGE,1,In-Aisle
718,1130716,327,4:08 PM,Sep 14,VEGETABLES - SHELF STABLE,ASPARAGUS,1.29,In-Shelf
740,982755,404,12:52 PM,Oct 29,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,2.5,Front End Cap
766,896369,322,2:16 PM,May 24,PNT BTR/JELLY/JAMS,PEANUT BUTTER,1,In-Shelf
766,1063577,322,2:16 PM,May 24,CONVENIENT BRKFST/WHLSM SNACKS,CEREAL BARS,2.5,Rear End Cap
755,12523972,388,2:32 PM,Jun 13,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,1.25,In-Aisle
712,9526410,448,6:09 PM,Aug 23,BAG SNACKS,POTATO CHIPS,4,In-Aisle
699,846502,408,2:26 PM,Jun 29,CANDY - PACKAGED,CANDY BAGS-CHOCOCLATE,3.19,Front Aisle
768,1029743,323,10:52 PM,Jun 29,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Front End Cap
725,893501,400,1:49 PM,Sep 4,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2.64,In-Aisle
725,9526410,400,11:26 AM,Feb 26,BAG SNACKS,POTATO CHIPS,1.67,Other Location Display
699,9419769,408,8:33 AM,Sep 6,BATH TISSUES,TOILET TISSUE,14.49,In-Aisle
733,993689,356,12:28 PM,Apr 5,SOAP - LIQUID & BAR,LIQUID SOAP,1,Front Aisle
761,12263788,343,1:07 PM,Nov 19,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,3,In-Aisle
768,963683,323,6:20 AM,Mar 4,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,3.99,Rear End Cap
725,1130458,400,2:45 PM,Nov 20,COLD CEREAL,KIDS CEREAL,2,Rear End Cap
718,9884509,324,2:56 PM,Jan 4,FITNESS&DIET,FITNESS&DIET - BARS,1.43,Other Location Display
733,870547,356,12:21 PM,Feb 20,MARGARINES,MARGARINE: TUBS AND BOWLS,1.77,Rear Aisle
718,965378,324,1:06 PM,Jan 6,COOKIES/CONES,CONES,2.07,Other Location Display
764,935284,33923,9:43 AM,Jan 7,FROZEN PIZZA,PIZZA/ECONOMY,1,Front End Cap
725,1098066,400,4:07 PM,Jul 18,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,Other Location Display
630,925626,306,9:12 PM,May 27,FROZEN PIZZA,PIZZA/ECONOMY,6,Front End Cap
768,14077333,323,5:04 PM,Aug 30,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,3,Front End Cap
715,13190673,389,8:00 AM,Aug 8,CANDY - PACKAGED,CANDY BARS (SINGLES)(INCLUDING,0.99,Front End Cap
605,965772,369,1:23 PM,Oct 29,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,4.29,Other Location Display
718,1088835,324,7:53 PM,May 9,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.53,Front Aisle
740,12385554,404,2:26 PM,Oct 19,BAKING MIXES,LAYER CAKE MIX,0.94,Rear End Cap
712,9526410,448,11:01 AM,Aug 19,BAG SNACKS,POTATO CHIPS,2,In-Aisle
718,1013321,324,3:32 PM,Oct 11,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,2.96,In-Shelf
762,6464165,391,8:38 PM,Jul 8,ICE CREAM/MILK/SHERBTS,PREMIUM,4.54,Rear End Cap
630,976199,306,5:29 PM,Jan 20,BUTTER,BUTTER,8,In-Aisle
731,1049131,329,4:25 PM,Dec 10,BAG SNACKS,PRETZELS,2.29,Side-Aisle End Cap
696,825970,31742,3:34 PM,Feb 11,HOT DOGS,PREMIUM - MEAT,2,Rear Aisle
771,840361,359,10:02 PM,Jul 10,EGGS,EGGS - LARGE,0.88,In-Aisle
630,1124729,306,1:19 PM,Aug 24,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,2,Rear Aisle
647,12949855,438,3:22 PM,May 18,COLD CEREAL,ALL FAMILY CEREAL,2.5,Rear End Cap
630,1121384,306,3:09 PM,Sep 16,COLD CEREAL,ALL FAMILY CEREAL,3.76,Front End Cap
718,859010,324,4:58 PM,Nov 9,BAG SNACKS,TORTILLA/NACHO CHIPS,1.88,In-Aisle
725,883404,400,3:49 PM,Nov 12,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2.64,Other Location Display
647,1035143,384,4:15 PM,Mar 4,FRZN POTATOES,FRZN FRENCH FRIES,1.99,Rear End Cap
718,1088835,324,12:41 PM,May 11,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.53,Front Aisle
631,826249,389,1:30 PM,May 13,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,0.99,In-Shelf
718,965378,324,5:55 PM,May 13,COOKIES/CONES,CONES,1.97,Other Location Display
753,1029743,317,9:06 AM,Sep 21,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.49,Front End Cap
712,883404,31742,6:02 PM,Sep 21,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.99,In-Aisle
725,826249,400,1:05 PM,Jun 18,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,0.99,Other Location Display
718,910291,324,7:04 AM,Jul 5,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.33,Front Aisle
605,1044805,448,7:04 PM,Jul 21,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,1.67,In-Shelf
715,937725,389,2:37 PM,Mar 2,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.66,Rear End Cap
725,883404,400,3:04 PM,Jan 22,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.98,In-Aisle
761,12263788,343,9:01 PM,Nov 24,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,4.5,In-Aisle
647,945779,343,9:14 PM,Nov 24,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,Rear End Cap
706,1029743,32004,7:12 PM,Nov 28,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Front End Cap
605,898068,369,11:04 AM,Apr 7,CONDIMENTS/SAUCES,CATSUP,1.67,Front Aisle
680,10344585,424,5:49 PM,Dec 13,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.75,In-Aisle
725,936229,400,5:42 PM,Dec 16,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,5.99,Rear End Cap
696,1018818,31742,1:18 PM,Mar 20,BEERS/ALES,BEERALEMALT LIQUORS,12.99,Rear Aisle
779,6534035,343,12:24 PM,Feb 23,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,In-Aisle
622,13213202,298,7:09 PM,Jan 14,ICE CREAM/MILK/SHERBTS,PAILS,3,Front End Cap
771,932675,359,8:39 PM,May 4,BAG SNACKS,CORN CHIPS,1.48,Rear End Cap
696,873627,31742,3:24 PM,Jun 7,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1.67,Side-Aisle End Cap
741,1116770,315,7:51 PM,Jun 10,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,4,Front End Cap
733,9527184,356,7:05 PM,Dec 4,PAPER HOUSEWARES,FOAM PLATES,4,Rear End Cap
718,1042907,324,5:00 PM,Aug 3,BACON,PREMIUM,3.54,Rear Aisle
771,1108094,439,8:22 PM,Nov 14,BEERS/ALES,BEERALEMALT LIQUORS,11.99,Side-Aisle End Cap
680,984715,424,12:28 PM,Jan 12,SEAFOOD - SHELF STABLE,SALMON,1,In-Shelf
715,883404,415,2:38 PM,Sep 12,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.88,In-Aisle
755,910291,388,6:33 PM,May 23,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.34,Other Location Display
718,12577242,324,2:37 AM,Jun 8,CRACKERS/MISC BKD FD,CHEESE CRACKERS (CHEEZ-ITS/GOL,1.25,Front End Cap
630,15926886,306,12:03 PM,Aug 3,BAG SNACKS,POTATO CHIPS,1.88,In-Aisle
788,5580793,360,12:07 PM,Sep 19,TOYS AND GAMES,DIECAST MINI,5,Front Aisle
630,871756,306,1:17 PM,Oct 8,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,4.75,Rear End Cap
725,844165,400,12:33 PM,Oct 12,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2,In-Aisle
647,15926886,438,8:20 PM,Nov 27,BAG SNACKS,POTATO CHIPS,2.5,In-Aisle
786,981760,339,11:08 AM,Dec 3,EGGS,EGGS - X-LARGE,1.76,Rear Aisle
661,1138292,427,4:40 PM,Jul 2,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Rear End Cap
753,12384693,317,3:26 PM,Jul 16,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,2,Rear End Cap
607,989069,432,6:25 PM,Oct 15,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,2.5,Other Location Display
631,834826,389,2:22 PM,Apr 4,BATH TISSUES,TOILET TISSUE,5.5,Mid-Aisle End Cap
696,822407,31742,12:36 PM,Nov 6,MEAT - SHELF STABLE,PASTA: CANNED,2,Other Location Display
797,1029743,450,8:41 PM,Dec 26,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2.69,Other Location Display
718,5592585,324,2:56 PM,Jan 4,SNACK NUTS,SNACK NUT(BAG),0.35,Side-Aisle End Cap
630,1096036,306,7:10 PM,Apr 2,CHEESE,IWS SINGLE CHEESE,2.5,In-Aisle
764,12456256,33923,2:28 PM,Jan 7,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,In-Aisle
771,999104,359,11:10 AM,Jan 9,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,2.5,In-Aisle
630,8065410,306,6:31 PM,Apr 3,BACON,ECONOMY,5,Rear Aisle
718,15926118,324,12:58 PM,Jul 15,KITCHEN GADGETS,AS SEEN ON TV,19.99,In-Aisle
788,10355978,360,10:53 AM,Jul 16,CANDY - PACKAGED,SEASONAL CANDY BAGS-CHOCOLATE,1.88,In-Aisle
786,1107538,339,4:54 PM,May 26,COLD CEREAL,KIDS CEREAL,2,Mid-Aisle End Cap
712,5568729,448,9:16 AM,Oct 25,BAG SNACKS,TORTILLA/NACHO CHIPS,2.5,Side-Aisle End Cap
630,923746,306,9:22 AM,Jul 29,EGGS,EGGS - LARGE,2,In-Aisle
607,1068719,432,11:03 PM,Sep 17,SUGARS/SWEETNERS,SUGAR,1.79,Rear End Cap
725,890909,400,4:30 PM,Aug 19,CHEESE,SHREDDED CHEESE,3.99,In-Aisle
718,1106091,324,3:32 PM,Oct 11,BAG SNACKS,POTATO CHIPS,2,Side-Aisle End Cap
712,921763,338,11:41 AM,Oct 14,HOT CEREAL,INSTANT OATMEAL,2,Rear End Cap
740,917381,404,2:01 PM,Sep 2,BAKING NEEDS,PIE FILLING MINCEMEAT GLAZES,1.59,Other Location Display
762,7144140,432,3:52 PM,Dec 11,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,4.99,Front End Cap
699,1026945,408,8:05 PM,Dec 21,SNACK NUTS,NUTS OTHER,3.19,In-Aisle
706,883404,32004,4:10 PM,Feb 16,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,0.88,In-Aisle
725,844165,400,12:28 PM,Jan 1,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,In-Aisle
725,1062966,400,11:30 AM,Mar 18,HOT DOGS,ECONOMY - MEAT,0.99,Rear Aisle
733,5569471,298,12:28 PM,Feb 19,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,10,Side-Aisle End Cap
766,873654,333,4:25 PM,Sep 23,SUGARS/SWEETNERS,SUGAR,1.29,Other Location Display
740,1077793,404,8:24 PM,Oct 4,COOKIES,COOKIES: HOLIDAY/SPECIAL OCCAS,4,In-Aisle
647,914190,343,2:52 PM,Aug 30,CHEESE,CREAM CHEESE,1,In-Aisle
647,1076738,343,2:52 PM,Aug 30,DRY SAUCES/GRAVY,GRAVY CAN/GLASS,2,In-Shelf
766,1038217,333,3:53 PM,Jul 30,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Rear End Cap
725,5567502,400,1:59 PM,Jun 4,BAG SNACKS,TORTILLA/NACHO CHIPS,1.88,Side-Aisle End Cap
712,6919202,448,1:04 PM,Jun 6,PLASTIC HOUSEWARES,DISPOSABLE FD STORAGE CONTAINR,3.29,Rear End Cap
718,9416729,324,6:51 PM,Jun 28,HOT DOGS,PREMIUM - MEAT,3.29,Rear Aisle
631,981760,389,2:37 PM,Jun 30,EGGS,EGGS - X-LARGE,1.09,Front End Cap
768,1068719,323,9:08 AM,Sep 30,SUGARS/SWEETNERS,SUGAR,1.89,Front End Cap
725,998558,400,5:39 PM,Jul 3,MEAT - SHELF STABLE,CHILI: CANNED,2,In-Shelf
712,898212,448,1:20 PM,May 27,BAG SNACKS,TORTILLA/NACHO CHIPS,4,In-Aisle
712,1018670,448,1:20 PM,May 27,FROZEN PIZZA,SANDWICHES&HANDHELDS,1.5,Front End Cap
771,12130522,424,12:11 PM,Sep 15,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,1.88,Rear Aisle
647,910032,343,6:36 PM,Aug 8,HOT DOGS,PREMIUM - MEAT,3.29,Rear Aisle
725,892008,400,2:26 PM,Jul 4,MEAT - SHELF STABLE,PASTA: CANNED,2,Rear End Cap
725,6463742,400,3:07 PM,Oct 30,CHEESE,SHREDDED CHEESE,2.5,In-Aisle
661,825539,427,10:44 PM,Jul 7,CANDY - PACKAGED,CANDY BARS (MULTI PACK),5.38,In-Shelf
766,978332,333,4:02 PM,Oct 2,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,2.79,In-Aisle
725,5569471,400,2:41 PM,Jul 25,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.5,In-Aisle
699,853210,408,1:47 PM,Jan 22,PWDR/CRYSTL DRNK MX,SOFT DRINK CANISTERS,2.99,Rear End Cap
766,912445,333,11:24 AM,Nov 25,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,3.29,Rear End Cap
712,913785,448,12:45 PM,Dec 17,CONDIMENTS/SAUCES,CATSUP,2,Rear End Cap
762,6773204,31862,12:50 PM,Apr 21,FROZEN PIZZA,PIZZA/ECONOMY,2.19,Rear Aisle
696,1060529,31742,7:17 PM,Sep 14,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,2,Rear Aisle
741,959134,315,9:19 PM,May 22,BEERS/ALES,BEERALEMALT LIQUORS,11.99,Other Location Display
764,13877192,33923,3:04 PM,Jun 7,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,3.69,Rear End Cap
725,868764,400,9:18 AM,Sep 18,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,4,In-Aisle
605,1003188,369,1:31 PM,Oct 17,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1.29,In-Shelf
706,7441180,343,6:56 PM,Mar 22,ICE CREAM/MILK/SHERBTS,PREMIUM,3,Rear End Cap
661,1108168,427,4:11 PM,Apr 27,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1.8,Rear End Cap
607,960732,432,9:35 PM,Oct 25,COLD CEREAL,ALL FAMILY CEREAL,2,Rear End Cap
725,977854,400,5:42 PM,May 24,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1.04,Front End Cap
605,860475,369,9:09 PM,Oct 29,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,1,Mid-Aisle End Cap
768,913806,323,2:26 PM,Jan 18,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,Rear Aisle
768,899618,323,6:20 AM,Nov 20,WATER,SPRING WATER,2,Other Location Display
718,10204822,324,4:36 PM,Dec 1,CANDY - PACKAGED,CANDY BARS (MULTI PACK),0.88,Front Aisle
647,871756,343,12:30 PM,Apr 13,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1.5,Mid-Aisle End Cap
771,842392,318,9:43 PM,Mar 8,COFFEE,GROUND COFFEE,2,Front End Cap
779,6396174,343,8:46 PM,Feb 14,DOMESTIC WINE,POPULAR 750ML WINES,8.99,Side-Aisle End Cap
699,1026945,408,6:46 PM,Jan 9,SNACK NUTS,NUTS OTHER,3.19,Other Location Display
699,965766,408,3:15 PM,Jul 18,CHEESE,IWS SINGLE CHEESE,1.5,In-Aisle
761,1104343,343,9:10 PM,Aug 28,BUTTER,BUTTER,3.54,In-Aisle
722,1003188,359,4:28 PM,Nov 1,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1.29,In-Shelf
768,834117,323,6:32 AM,Nov 17,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.99,Other Location Display
768,834117,323,1:16 PM,Nov 23,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,3.99,Other Location Display
647,9527494,438,10:46 PM,Mar 9,BAG SNACKS,POTATO CHIPS,1.88,Side-Aisle End Cap
607,1062966,372,10:37 PM,Mar 15,HOT DOGS,ECONOMY - MEAT,1.98,Rear Aisle
733,1083721,356,6:00 PM,May 17,FROZEN PIZZA,PIZZA/ECONOMY,1,Front End Cap
607,960732,432,2:35 PM,Oct 23,COLD CEREAL,ALL FAMILY CEREAL,2,Rear End Cap
740,911812,404,2:01 PM,Sep 2,SOUP,CONDENSED SOUP,0.75,Other Location Display
766,9676866,333,3:22 PM,Feb 28,PAPER TOWELS,PAPER TOWELS & HOLDERS,4.99,Front End Cap
768,852080,323,3:45 PM,Feb 6,COFFEE,GROUND COFFEE,5.59,Rear End Cap
718,826249,324,4:52 PM,Dec 18,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1.2,Other Location Display
771,5565352,424,5:14 PM,Dec 29,AUTOMOTIVE PRODUCTS,ANTIFREEZE,0.99,Rear Aisle
761,15571290,343,3:54 PM,Jul 11,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,1.88,Front End Cap
761,849843,343,9:20 PM,Aug 20,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,Other Location Display
768,1054262,323,6:37 AM,Jul 21,COLD CEREAL,KIDS CEREAL,1.5,In-Shelf
712,5569374,448,12:59 PM,Oct 5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.67,In-Aisle
761,1091976,343,3:43 PM,Jun 29,CONDIMENTS/SAUCES,SALAD MUSTARD,0.79,In-Aisle
766,1014054,333,3:22 PM,Sep 8,NUTS,ALMONDS SHELLED,6.99,In-Aisle
631,987562,389,2:00 PM,Nov 14,CHEESE,SHREDDED CHEESE,1.67,Other Location Display
712,834631,448,10:35 AM,Apr 4,MISCELLANEOUS,SAUERKRAUT,1.69,Front End Cap
725,987562,400,12:54 PM,Apr 17,CHEESE,SHREDDED CHEESE,1.67,In-Aisle
696,938700,369,1:22 PM,Oct 5,VEGETABLES - SHELF STABLE,CORN,1,In-Shelf
647,1071939,343,5:49 PM,Jul 5,CHEESE,CREAM CHEESE,1,In-Aisle
768,1003188,323,8:53 AM,Jul 8,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,1,Rear End Cap
766,1105917,333,4:02 PM,Oct 2,BUTTER,BUTTER,2,In-Aisle
